motif,gap,type,stimulus,snr,gap_start,gap_stop
synth8mk4,2,GB,ep_synth8mk4_GB_g2a_snr0,0,167.0,237.0
synth8mk4,2,G,ep_synth8mk4_G_g2a,30,167.0,237.0
synth8mk4,4,N,ep_synth8mk4_N_g4a_snr0,0,639.0,709.0
synth8mk4,4,GB,ep_synth8mk4_GB_g4a_snr0,0,639.0,709.0
synth8mk4,4,GM,ep_synth8mk4_GM_g4a_snr0,0,639.0,709.0
synth8mk4,4,G,ep_synth8mk4_G_g4a,30,639.0,709.0
synth8mk4,4,CB,ep_synth8mk4_CB_g4a_snr0,0,639.0,709.0
synth8mk4,,CM,ep_synth8mk4_CM_snr0,30,,
synth8mk4,,C,ep_synth8mk4_C,30,,
synth8mk5,2,GM,ep_synth8mk5_GM_g2a_snr0,0,230.0,300.0
synth8mk5,2,CB,ep_synth8mk5_CB_g2a_snr0,0,230.0,300.0
synth8mk5,2,N,ep_synth8mk5_N_g2a_snr0,0,230.0,300.0
synth8mk5,2,G,ep_synth8mk5_G_g2a,30,230.0,300.0
synth8mk5,2,GB,ep_synth8mk5_GB_g2a_snr0,0,230.0,300.0
synth8mk5,4,N,ep_synth8mk5_N_g4a_snr0,0,584.0,653.0
synth8mk5,4,G,ep_synth8mk5_G_g4a,30,584.0,653.0
synth8mk5,4,CB,ep_synth8mk5_CB_g4a_snr0,0,584.0,653.0
synth8mk5,4,GB,ep_synth8mk5_GB_g4a_snr0,0,584.0,653.0
synth8mk5,4,GM,ep_synth8mk5_GM_g4a_snr0,0,584.0,653.0
synth8mk5,,CM,ep_synth8mk5_CM_snr0,30,,
synth8mk5,,C,ep_synth8mk5_C,30,,
synth8mk6,2,N,ep_synth8mk6_N_g2a_snr0,0,133.0,203.0
synth8mk6,2,CB,ep_synth8mk6_CB_g2a_snr0,0,133.0,203.0
synth8mk6,2,GM,ep_synth8mk6_GM_g2a_snr0,0,133.0,203.0
synth8mk6,2,GB,ep_synth8mk6_GB_g2a_snr0,0,133.0,203.0
synth8mk6,2,G,ep_synth8mk6_G_g2a,30,133.0,203.0
synth8mk6,4,GM,ep_synth8mk6_GM_g4a_snr0,0,464.0,534.0
synth8mk6,4,GB,ep_synth8mk6_GB_g4a_snr0,0,464.0,534.0
synth8mk6,4,CB,ep_synth8mk6_CB_g4a_snr0,0,464.0,534.0
synth8mk6,4,G,ep_synth8mk6_G_g4a,30,464.0,534.0
synth8mk6,4,N,ep_synth8mk6_N_g4a_snr0,0,464.0,534.0
synth8mk6,,CM,ep_synth8mk6_CM_snr0,30,,
synth8mk6,,C,ep_synth8mk6_C,30,,
synth8mk7,2,GB,ep_synth8mk7_GB_g2a_snr0,0,314.0,384.0
synth8mk7,2,N,ep_synth8mk7_N_g2a_snr0,0,314.0,384.0
synth8mk7,2,GM,ep_synth8mk7_GM_g2a_snr0,0,314.0,384.0
synth8mk7,2,CB,ep_synth8mk7_CB_g2a_snr0,0,314.0,384.0
synth8mk7,2,G,ep_synth8mk7_G_g2a,30,314.0,384.0
synth8mk7,4,N,ep_synth8mk7_N_g4a_snr0,0,721.0,790.0
synth8mk7,4,GM,ep_synth8mk7_GM_g4a_snr0,0,721.0,790.0
synth8mk7,4,G,ep_synth8mk7_G_g4a,30,721.0,790.0
synth8mk7,4,GB,ep_synth8mk7_GB_g4a_snr0,0,721.0,790.0
synth8mk7,4,CB,ep_synth8mk7_CB_g4a_snr0,0,721.0,790.0
synth8mk7,,C,ep_synth8mk7_C,30,,
synth8mk7,,CM,ep_synth8mk7_CM_snr0,30,,
